Price,VADER Burned,Percentage of total suply burned
0.09,111111111.11,0.4444%
0.1,100000000.00,0.4000%
0.11,90909090.91,0.3636%
0.12,83333333.33,0.3333%
0.13,76923076.92,0.3077%
0.14,71428571.43,0.2857%
0.15,66666666.67,0.2667%
0.16,62500000.00,0.2500%
0.17,58823529.41,0.2353%
0.18,55555555.56,0.2222%
0.19,52631578.95,0.2105%
0.2,50000000.00,0.2000%
0.21,47619047.62,0.1905%
0.22,45454545.45,0.1818%
0.23,43478260.87,0.1739%
0.24,41666666.67,0.1667%
0.25,40000000.00,0.1600%
0.26,38461538.46,0.1538%
0.27,37037037.04,0.1481%
0.28,35714285.71,0.1429%
0.29,34482758.62,0.1379%
0.3,33333333.33,0.1333%
0.31,32258064.52,0.1290%
0.32,31250000.00,0.1250%
0.33,30303030.30,0.1212%
0.34,29411764.71,0.1176%
0.35,28571428.57,0.1143%
0.36,27777777.78,0.1111%
0.37,27027027.03,0.1081%
0.38,26315789.47,0.1053%
0.39,25641025.64,0.1026%
0.4,25000000.00,0.1000%
0.41,24390243.90,0.0976%
0.42,23809523.81,0.0952%
0.43,23255813.95,0.0930%
0.44,22727272.73,0.0909%
0.45,22222222.22,0.0889%
0.46,21739130.43,0.0870%
0.47,21276595.74,0.0851%
0.48,20833333.33,0.0833%
0.49,20408163.27,0.0816%
0.5,20000000.00,0.0800%
