VADER Price, Amount VADER burnt per $1 USDV
0.07,14.28
0.08,12.50
0.09,11.11
0.10,10.00
0.11,9.09
0.12,8.33
0.13,7.69
0.14,7.14
0.15,6.66
0.16,6.25
0.17,5.88
0.18,5.55
0.19,5.26
0.20,5.00
0.21,4.76
0.22,4.55
0.23,4.35
0.24,4.17
0.25,4.00
0.26,3.85
0.27,3.70
0.28,3.57
0.29,3.45
0.30,3.33
0.31,3.23
0.32,3.13
0.33,3.03
0.34,2.94
0.35,2.86
0.36,2.78
0.37,2.70
0.38,2.63
0.39,2.56
0.40,2.50
0.41,2.44
0.42,2.38
0.43,2.33
0.44,2.27
0.45,2.22
0.46,2.17
0.47,2.13
0.48,2.08
0.49,2.04
0.50,2.00
0.51,1.96
0.52,1.92
0.53,1.89
0.54,1.85
0.55,1.82
0.56,1.79
0.57,1.75
0.58,1.72
0.59,1.69
0.60,1.67
0.61,1.64
0.62,1.61
0.63,1.59
0.64,1.56
0.65,1.54
0.66,1.52
0.67,1.49
0.68,1.47
0.69,1.45
0.70,1.43
0.71,1.41
0.72,1.39
0.73,1.37
0.74,1.35
0.75,1.33
0.76,1.32
0.77,1.30
0.78,1.28
0.79,1.27
0.80,1.25
0.81,1.23
0.82,1.22
0.83,1.20
0.84,1.19
0.85,1.18
0.86,1.16
0.87,1.15
0.88,1.14
0.89,1.12
0.90,1.11
0.91,1.10
0.92,1.09
0.93,1.08
0.94,1.06
0.95,1.05
0.96,1.04
0.97,1.03
0.98,1.02
0.99,1.01
1.00,1.00






